,currency,equity,fixed_income,private_equity,gold,commodities_ex_gold,cash
2019-08-31,USD,-0.0220987252,0.0278280075,-0.0493102493,0.0791231346,-0.0463022805,0.0015717412
2019-09-30,USD,0.0224590965,-0.0061215578,0.0203705472,-0.0339478601,0.0141604669,0.0015803256
2019-10-31,USD,0.0273899111,0.0020811862,0.0271573150,0.0256354697,0.0192819251,0.0013749405
2019-11-30,USD,0.0233603118,-0.0003452934,0.0406558933,-0.0320858829,-0.0013046747,0.0012038954
2019-12-31,USD,0.0344193971,-0.0004680157,0.0278656957,0.0365587789,0.0584916133,0.0013210181
2020-01-31,USD,-0.0143846782,0.0202902858,-0.0310255085,0.0449965585,-0.0858934236,0.0012696356
2020-02-29,USD,-0.0748944514,0.0158468973,-0.0884571755,-0.0063617286,-0.0665294482,0.0011485617
2020-03-31,USD,-0.1340989874,-0.0052681702,-0.2147709104,-0.0022240317,-0.1734019346,0.0002352118
2020-04-30,USD,0.0982898364,0.0171905968,0.1384765660,0.0726106030,-0.0311111089,0.0000909027
2020-05-31,USD,0.0509313236,0.0067258131,0.0659197287,0.0258816154,0.0807338357,0.0000869693
2020-06-30,USD,0.0294055095,0.0065909931,0.0342993940,0.0273770263,0.0449916027,0.0001258074
2020-07-31,USD,0.0535813302,0.0133316280,0.0291937673,0.1079046310,0.0511779368,0.0000958398
2020-08-31,USD,0.0602548420,-0.0082359181,0.0547637699,-0.0032356731,0.0463678959,0.0000761604
2020-09-30,USD,-0.0295082532,-0.0009729217,-0.0326131589,-0.0417140434,-0.0354505331,0.0000779657
2020-10-31,USD,-0.0222720370,-0.0055829558,0.0220309156,-0.0051942084,-0.0313937036,0.0000722174
2020-11-30,USD,0.1176093932,0.0120675660,0.1824416430,-0.0540862596,0.1019763416,0.0000668524
2020-12-31,USD,0.0468726074,0.0008571159,0.0864647113,0.0701386126,0.0545193403,0.0000624445
2021-01-31,USD,-0.0030863219,-0.0074456091,0.0484545755,-0.0322381699,0.0333334228,0.0000572137
